~$6,,~$8,,~$36,,
$5.99,7852570,$8.0,8268431,$35.5,8114536,
$5.99,7852570,$8.0,8268431,$35.5,8186446,
$5.99,7865750,$8.0,8239144,$35.8,8306541,
$5.99,8153749,$8.0,8239144,$35.9,8196477,
$5.99,8231518,$8.0,8239144,$35.9,8201694,
$5.99,8231518,$8.0,8272327,$35.9,8342826,
$5.99,8232124,$8.0,8272327,$35.91,8243356,
$6.0,8427445,$8.0,8272327,$35.95,7431740,
,,$8.0,8272327,$35.95,7563490,
,,$8.0,8299895,$35.95,8427086,
,,$8.0,8174673,$35.95,8473046,
,,$8.0,8239144,$35.96,8296027,
,,$8.0,8318623,$35.96,8296027,
,,$8.0,8239144,$35.97,7926980,
,,$8.0,8318623,$35.97,8008801,
,,$8.0,8318626,$35.97,8008796,
,,$8.0,8318626,$35.97,8008800,
,,$8.0,8318623,$35.97,8008800,
,,$8.0,8318623,$35.97,8008796,
,,$8.0,8318626,$35.99,7522168,
,,$8.0,8351486,$35.99,7522172,
,,$8.0,8351486,$35.99,7692464,
,,$8.0,8351486,$35.99,7929880,
,,$8.0,8364771,$35.99,7929880,
,,$8.0,8364767,$35.99,7968609,
,,$8.0,8364773,$35.99,7968609,
,,$8.0,8364770,$35.99,8042363,
,,$8.0,8364766,$35.99,8042363,
,,$8.0,8364765,$35.99,8130185,
,,$8.0,8364768,$35.99,8130186,
,,$8.0,8364764,$35.99,8042363,
,,$8.0,8364774,$35.99,8153371,
,,$8.0,8364769,$35.99,8153383,
,,$8.0,8379906,$35.99,8153384,
,,$8.0,8186552,$35.99,8153397,
,,$8.0,8186552,$35.99,8203073,
,,$8.0,8409295,$35.99,8203062,
,,$8.0,8409295,$35.99,8203075,
,,$7.5,8272332,$35.99,8203061,
,,$7.5,8272332,$35.99,8216724,
,,$7.5,8272332,$35.99,8235680,
,,$7.5,8272332,$35.99,8241721,
,,$7.5,8321566,$35.99,8153397,
,,$7.5,8321566,$35.99,8153383,
,,$7.95,124697,$35.99,8320728,
,,$7.95,124696,$35.99,8320728,
,,$7.95,8061183,$35.99,8320728,
,,$7.99,7852584,$35.99,8320728,
,,$7.99,7852571,$35.99,8424234,
,,$7.99,7852572,$35.99,8424234,
,,$7.99,7852572,$35.99,8424234,
,,$7.99,7951902,$35.99,8424234,
,,$7.99,7951902,$35.99,8424234,
,,$7.99,7951902,$35.99,7768536,
,,$7.99,7951902,$35.99,8474725,
,,$7.99,7951902,$35.99,8474770,
,,$7.99,7951902,$35.99,8474748,
,,$7.99,7951902,$35.99,8474719,
,,$7.99,7951902,$35.99,8474750,
,,$7.99,7951902,$35.99,8474718,
,,$7.99,7951902,$36.0,7553444,
,,$7.99,7951902,$36.0,7553452,
,,$7.99,7951902,$36.0,7553444,
,,$7.99,7951902,$36.0,7553452,
,,$7.99,8231465,$36.0,7553444,
,,$7.99,8231532,$36.0,7553444,
,,$7.99,8231496,$36.0,7553452,
,,$7.99,8231570,$36.0,7553452,
,,$7.99,8232119,$36.0,7128115,
,,$7.99,8231578,$36.0,7553444,
,,$7.99,8314245,$36.0,7553444,
,,$7.99,8355023,$36.0,7553452,
,,$7.99,8355023,$36.0,7541641,
,,$7.99,8355023,$36.0,7327284,
,,$7.99,8355023,$36.0,7327284,
,,$7.99,7951902,$36.0,7553452,
,,$7.99,8355023,$36.0,7478115,
,,$7.99,8428589,$36.0,7478115,
,,$8.0,7817990,$36.0,7478116,
,,$8.0,7817990,$36.0,7489689,
,,$8.0,7937549,$36.0,7478116,
,,$8.0,7937549,$36.0,7500888,
,,$8.0,8069088,$36.0,7553444,
